Dock,SMILES_LIGANDS,SMILES_CD
1,Oc1ccc(CCN=C=S)cc1O,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,C[n+]1ccc(CCN2C(=O)CCC2=O)cc1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,C/C(=N/NC(=S)N1CCCC1)c1ccccn1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,CN1CCN=C1Cc1ccccc1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
1,CCCSc1nnc(C(C)C)n1N,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,CCN(CC)C(=O)C[n+]1cccc(C(N)=O)c1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
1,O=C(O)CNC(=O)c1ccccc1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
1,C[C@]12OO[C@](C)(OO1)C2CCC#N,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,CN(C)c1ccccc1S(=O)(=O)[N-][N+](=O)[O-],[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
0,CN(C)c1cccc(S(=O)(=O)[N-][N+](=O)[O-])c1,[H]OC1([H])C2([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC3([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC4([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC5([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC6([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(OC7([H])OC([H])(C([H])([H])OC([H])([H])[C@]([H])(O[H])C([H])([H])[H])C([H])(O2)C([H])(O[H])C7([H])O[H])C([H])(O[H])C6([H])O[H])C([H])(O[H])C5([H])O[H])C([H])(O[H])C4([H])O[H])C([H])(O[H])C3([H])O[H])C1([H])O[H]
